date,open,high,low,close,volume
2021-04-08,164.1679,164.77,164.14,164.51,6388619.0
2021-04-09,162.75,163.66,162.48,163.27,6729739.0
2021-04-12,162.73,162.8,161.81,162.28,4723153.0
2021-04-13,163.18,163.85,163.03,163.43,7039165.0
2021-04-14,162.77,163.05,162.3,162.72,6355734.0
2021-04-15,164.07,165.79,164.03,165.35,8254716.0
2021-04-16,166.24,166.811,165.94,166.35,10122460.0
2021-04-19,165.91,166.44,165.72,165.89,5836595.0
2021-04-20,165.65,166.81,165.62,166.48,6526589.0
2021-04-21,167.18,168.39,167.15,168.13,8432265.0
2021-04-22,167.11,167.53,166.4901,167.04,7753234.0
2021-04-23,167.37,167.53,165.78,166.4,7137705.0
2021-04-26,166.63,166.865,166.05,166.84,4845027.0
2021-04-27,166.92,167.15,166.28,166.42,5394429.0
2021-04-28,165.75,166.96,165.49,166.91,6964131.0
2021-04-29,165.58,166.26,164.47,166.22,9142397.0
2021-04-30,165.86,166.0,165.24,165.66,6271849.0
2021-05-03,167.61,168.43,167.41,167.81,9055836.0
2021-05-04,167.69,168.55,165.5,166.58,10304728.0
2021-05-05,166.63,167.31,166.61,167.27,5979434.0
2021-05-06,167.95,170.29,167.92,170.06,13628154.0
2021-05-07,171.53,172.5501,171.0,171.59,14705357.0
2021-05-10,172.74,172.84,171.78,172.11,8380660.0
2021-05-11,170.5582,172.17,170.27,172.14,8470360.0
2021-05-12,171.4321,171.835,170.345,170.43,12730013.0
2021-05-13,170.35,171.27,170.225,171.13,8052481.0
2021-05-14,172.05,172.7,171.82,172.69,9750530.0
2021-05-17,173.3,175.0,173.28,174.7,12017728.0
2021-05-18,175.18,175.21,174.46,175.04,7377072.0
2021-05-19,175.14,177.0,174.345,175.16,20803476.0
2021-05-20,175.32,176.46,175.11,175.96,9875965.0
2021-05-21,176.58,176.8602,175.145,176.04,7730525.0
2021-05-24,176.15,176.59,175.87,176.35,5612849.0
2021-05-25,176.15,177.95,176.04,177.95,9029706.0
2021-05-26,178.368,178.61,177.04,177.64,8563837.0
2021-05-27,177.39,177.82,176.81,177.71,8026274.0
2021-05-28,177.46,178.43,177.2411,178.38,10019082.0
2021-06-01,178.76,178.85,177.19,177.9,9250810.0
2021-06-02,178.34,178.78,177.97,178.77,6662355.0
2021-06-03,175.83,175.83,174.66,175.27,10240422.0
2021-06-04,176.65,177.57,176.61,177.16,8201213.0
2021-06-07,176.96,177.9,176.63,177.87,7407724.0
2021-06-08,177.23,177.54,176.37,177.32,5949525.0
2021-06-09,177.38,177.8,176.78,176.98,6381237.0
2021-06-10,176.7,177.85,176.48,177.74,9939599.0
2021-06-11,176.33,176.57,175.48,175.74,7863793.0
2021-06-14,173.16,175.06,172.95,174.71,7818706.0
2021-06-15,174.78,174.915,173.34,174.05,7617517.0
2021-06-16,173.91,174.465,171.03,171.11,16962690.0
2021-06-17,167.02,167.615,165.44,165.85,27090067.0
2021-06-18,166.14,166.72,164.87,164.93,15426566.0
2021-06-21,166.52,167.2218,166.0,166.95,8435584.0
2021-06-22,166.35,166.915,166.01,166.25,7274195.0
2021-06-23,166.97,168.03,165.97,166.14,8512348.0
2021-06-24,167.0,167.23,166.01,166.04,6956400.0
2021-06-25,167.45,167.525,166.29,166.59,7524418.0
2021-06-28,166.68,166.91,166.3575,166.58,6549215.0
2021-06-29,164.34,165.2782,164.01,164.83,7514799.0
2021-06-30,164.57,166.1,164.29,165.63,7897028.0
2021-07-01,166.65,166.88,165.5,166.2,7490655.0
2021-07-02,167.35,167.715,166.4,167.29,7914588.0
2021-07-06,169.27,169.65,167.54,168.12,7956614.0
2021-07-07,168.72,169.23,168.19,168.76,7139585.0
2021-07-08,169.82,169.855,167.91,168.65,7288627.0
2021-07-09,168.84,169.62,168.66,169.21,5008677.0
2021-07-12,168.7,169.16,167.64,169.0,7348560.0
2021-07-13,169.51,169.9,168.93,169.22,7063287.0
2021-07-14,170.91,171.04,170.28,171.04,8949049.0
2021-07-15,170.89,171.3,170.34,171.07,6568289.0
2021-07-16,170.65,170.95,169.28,169.41,9493608.0
2021-07-19,169.51,169.91,168.89,169.61,6758589.0
2021-07-20,170.51,170.8,168.92,169.39,6575861.0
2021-07-21,168.33,169.0,168.14,168.76,4665940.0
2021-07-22,168.49,169.191,168.06,169.09,4819467.0
2021-07-23,168.5,168.88,167.95,168.56,5854477.0
2021-07-26,168.58,168.86,168.08,168.16,5261258.0
2021-07-27,168.73,168.905,167.93,168.44,6345133.0
2021-07-28,168.26,169.38,167.72,169.29,7932496.0
2021-07-29,170.7,171.52,170.67,171.17,8119591.0
2021-07-30,170.72,170.99,169.38,169.82,7391706.0
2021-08-02,169.3,170.245,169.1,169.61,10713240.0
2021-08-03,169.42,169.83,169.21,169.49,5402340.0
2021-08-04,171.28,171.4,168.99,169.53,9796349.0
2021-08-05,169.37,169.4371,168.203,168.86,7893245.0
2021-08-06,165.84,165.93,164.55,164.64,13547643.0
2021-08-09,163.01,163.295,161.26,161.72,11546973.0
2021-08-10,161.39,162.11,160.68,161.77,6840516.0
2021-08-11,163.15,164.17,162.68,164.0,7382417.0
2021-08-12,163.65,164.1,162.9335,164.04,5222080.0
2021-08-13,165.02,166.46,164.89,166.39,7466887.0
2021-08-16,166.73,167.39,166.59,167.22,7781796.0
2021-08-17,167.29,167.73,166.56,166.97,7106992.0
2021-08-18,167.24,167.51,166.26,167.1,7697931.0
2021-08-19,167.24,167.29,166.16,166.61,6934268.0
2021-08-20,166.8,167.14,166.36,166.7,7154348.0
2021-08-23,168.82,168.91,167.96,168.73,8190548.0
2021-08-24,169.04,169.27,168.52,168.65,4519173.0
2021-08-25,167.88,167.92,166.74,167.48,5588751.0
2021-08-26,167.21,168.21,166.83,167.67,4371866.0
2021-08-27,167.58,170.19,166.87,170.19,10036431.0
2021-08-30,169.66,169.835,169.09,169.35,3768628.0
2021-08-31,169.23,169.92,168.75,169.69,6336002.0
2021-09-01,169.94,170.0,169.16,169.7,4732066.0
2021-09-02,169.5,169.63,168.82,169.25,4601128.0
2021-09-03,170.59,171.55,170.15,171.06,8326646.0
2021-09-07,169.56,169.78,167.63,167.71,10061902.0
2021-09-08,168.02,168.08,166.7,167.29,6575990.0
2021-09-09,168.17,168.28,166.83,168.03,6641424.0
2021-09-10,167.81,168.08,167.145,167.18,7426272.0
2021-09-13,167.45,168.22,167.395,167.74,5519415.0
2021-09-14,168.22,169.16,167.48,168.82,7944773.0
2021-09-15,168.1332,168.36,167.45,167.83,5645603.0
2021-09-16,164.38,164.44,163.233,164.03,11780399.0
2021-09-17,163.86,164.32,163.4,163.77,8369679.0
2021-09-20,164.29,165.28,164.07,164.94,7566577.0
2021-09-21,165.81,166.63,165.49,166.04,7181458.0
2021-09-22,165.89,167.15,165.03,165.42,9777794.0
2021-09-23,164.1,164.2,163.27,163.51,8451899.0
2021-09-24,163.0,164.0,162.74,163.3,6687521.0
2021-09-27,163.85,164.3608,163.51,163.64,4942989.0
2021-09-28,162.73,162.82,161.73,162.05,9282755.0
2021-09-29,162.35,162.74,160.97,161.32,8160656.0
2021-09-30,162.66,164.95,162.34,164.22,10612445.0
2021-10-01,164.27,164.96,163.885,164.59,6654686.0
2021-10-04,163.69,165.54,163.47,165.36,7651658.0
2021-10-05,163.94,164.85,163.49,164.59,5612283.0
2021-10-06,164.23,165.06,164.1531,165.03,5402156.0
2021-10-07,164.02,164.8507,163.96,164.16,4791505.0
2021-10-08,166.32,166.42,164.135,164.23,8624521.0
2021-10-11,164.04,164.58,163.91,163.92,3820087.0
2021-10-12,164.5701,165.44,164.31,164.66,5453049.0
2021-10-13,165.28,167.92,165.28,167.59,11118291.0
2021-10-14,168.19,168.22,167.71,168.0,5076047.0
2021-10-15,165.39,166.09,165.1,165.33,8699223.0
2021-10-18,165.42,165.59,164.81,164.92,4029594.0
2021-10-19,166.5,166.5,165.2001,165.45,6588473.0
2021-10-20,166.21,167.11,165.9258,166.9,5022036.0
2021-10-21,166.7,166.94,166.24,166.75,4412389.0
2021-10-22,168.67,169.54,166.67,167.77,10703927.0
2021-10-25,168.66,169.21,168.53,168.93,4881346.0
2021-10-26,167.88,167.91,166.63,167.68,6658890.0
