ticker
AAPL
ABBV
ACN
ADBE
AMAT
AMD
AMGN
AMZN
AVGO
BAC
BKNG
BRK-B
CAT
CMCSA
COP
COST
CRM
CSCO
CVX
DHR
DIS
GE
GOOG
GOOGL
GS
HD
HON
IBM
INTU
ISRG
JNJ
JPM
KO
LIN
LLY
LOW
MA
MCD
META
MRK
MSFT
NFLX
NKE
NOW
NVDA
ORCL
PEP
PG
PM
QCOM
RTX
SPGI
TMO
TXN
UNH
UNP
V
VZ
WMT
XOM
