signal_date,strategy_return_net,strategy_return_gross,buy_hold_return,random_return_net,avg_turnover,active_fraction,tickers
2020-03-16,0.025556934782132227,0.027256934782132224,0.035032963568459884,3.66511733867999e-05,1.7,0.85,60
2020-03-17,-0.012841421204363573,-0.012374754537696906,0.0023766252593415897,0.0026392264245801637,0.4666666666666667,0.23333333333333334,60
2020-03-18,0.01839607167328264,0.019129405006615974,0.021281558144366507,-0.0001529981612830244,0.7333333333333333,0.36666666666666664,60
2020-03-19,-0.01006600174420913,-0.009632668410875796,-0.05213386037801677,0.0038718763394266814,0.43333333333333335,0.21666666666666667,60
2020-03-20,0.0009481973711986761,0.0010815307045320096,-0.014267199008109093,0.0005883944029404731,0.13333333333333333,0.06666666666666667,60
2020-03-23,0.02883915380874317,0.029872487142076503,0.04154018751465513,0.0,1.0333333333333334,0.5166666666666667,60
2020-03-24,-9.013358707963074e-05,0.0009431997462537034,0.003652963933256977,-0.00308146808141929,1.0333333333333334,0.5166666666666667,60
2020-03-25,-0.002370147162537702,-0.0022701471625377018,0.053830929216205754,-0.00198248621851449,0.1,0.05,60
2020-03-26,0.0009863119406934224,0.0016863119406934227,-0.00509390311846911,0.0006581168743135283,0.7,0.35,60
2020-03-27,-0.0016856157559348606,-0.0015522824226015272,0.027429510406588645,6.272162591143641e-05,0.13333333333333333,0.06666666666666667,60
2020-03-30,0.002872593569421034,0.003639260236087701,-0.009536884783911345,0.0009191143488636162,0.7666666666666667,0.38333333333333336,60
2020-03-31,0.003098798876720094,0.004698798876720095,-0.005243163414392049,0.0001341004956173657,1.6,0.8,60
2020-04-01,-0.021969725060930104,-0.020736391727596767,0.033803972523788105,-0.002877736973053017,1.2333333333333334,0.6166666666666667,60
2020-04-02,0.012543932355705738,0.014510599022372405,-0.014554188627133384,0.00014051095141765153,1.9666666666666666,0.9833333333333333,60
2020-04-03,-0.014333134972716878,-0.013299801639383544,0.02882481218905805,-0.0009232587682913167,1.0333333333333334,0.5166666666666667,60
2020-04-06,0.02920663991972809,0.031073306586394754,-0.034595996414488954,-0.000840482124067989,1.8666666666666667,0.9333333333333333,60
2020-04-07,-0.023133953827112728,-0.021200620493779392,0.022103675686985107,-0.0002925681058350153,1.9333333333333333,0.9666666666666667,60
2020-04-08,0.0022178179799046596,0.003851151313237994,-0.0030096905069087465,0.00013891255786248062,1.6333333333333333,0.8166666666666667,60
2020-04-09,0.005676037796392215,0.006942704463058883,-0.0027509380987808087,-0.00023517241206594627,1.2666666666666666,0.6333333333333333,60
2020-04-13,-0.006216838981230124,-0.005150172314563456,0.011946226897015862,-0.00022096164519610494,1.0666666666666667,0.5333333333333333,60
2020-04-14,6.385447481878495e-05,0.0008971878081521186,0.00024925593729536175,0.0001568023909146973,0.8333333333333334,0.4166666666666667,60
2020-04-15,-0.0008004771223617143,-0.00036714378902838094,-0.002479118814081984,-0.0004743730601820576,0.43333333333333335,0.21666666666666667,60
2020-04-16,0.004196698439659815,0.004730031772993149,0.007497663395492195,-0.0004519062993947997,0.5333333333333333,0.26666666666666666,60
2020-04-17,-0.0010908974565060974,-0.000657564123172764,-0.0011020062617276654,0.00016669191365839371,0.43333333333333335,0.21666666666666667,60
2020-04-20,-0.002732083638780441,-0.0022654169721137746,-0.016027346740148374,-0.00019828751289657586,0.4666666666666667,0.23333333333333334,60
2020-04-21,-0.0017280171169933684,-0.0010280171169933683,0.005763935136209695,0.0,0.7,0.35,60
2020-04-22,-0.00021658878910173822,0.00021674454423159517,-0.004162903979234653,-0.00013768230383120458,0.43333333333333335,0.21666666666666667,60
2020-04-23,-1.0322215573158912e-05,8.967778442684113e-05,0.0065436461377243885,-0.00043005186144563133,0.1,0.05,60
2020-04-24,-0.0015690907319023488,-0.0012024240652356818,0.007786737644051343,0.0002520111773419266,0.36666666666666664,0.18333333333333332,60
2020-04-27,0.0006571184840536518,0.0007237851507203186,-0.018666107542759873,0.00020872107027116544,0.06666666666666667,0.03333333333333333,60
2020-04-28,4.672844270619172e-05,0.00011339510937285838,0.006209029475469994,-0.001031637010379368,0.06666666666666667,0.03333333333333333,60
2020-04-29,-0.0008730321510939665,-0.0004396988177606328,-0.002576863057501383,0.0002537021798600086,0.43333333333333335,0.21666666666666667,60
2020-04-30,-0.00038786661974946426,-0.00015453328641613085,-0.010067030255109344,0.0006031220585530979,0.23333333333333334,0.11666666666666667,60
2020-05-01,6.476178850446382e-05,9.809512183779715e-05,0.010650318941517686,0.00027109304160113196,0.03333333333333333,0.016666666666666666,60
2020-05-04,-0.00040833083085562994,-0.0003416641641889632,-0.0018862602527295843,-0.0004698278162522348,0.06666666666666667,0.03333333333333333,60
2020-05-05,0.0,0.0,-0.010722934208813944,0.0005875304547960388,0.0,0.0,60
2020-05-06,3.4680362808901364e-05,6.80136961422347e-05,-0.0004931075482514017,-0.000493849200372104,0.03333333333333333,0.016666666666666666,60
2020-05-07,-0.0005965178859916374,-0.00032985121932497066,0.0041279375501433735,2.0796223789002875e-05,0.26666666666666666,0.13333333333333333,60
2020-05-08,0.0007252772526038176,0.0008252772526038177,0.009078537353927644,-0.00011184408873674177,0.1,0.05,60
2020-05-11,0.0023257780351468305,0.002459111368480164,-0.02403299542809794,0.0008830347890979066,0.13333333333333333,0.06666666666666667,60
2020-05-12,0.00031013796951207353,0.00034347130284540693,-0.01545448761303586,-0.000288971332506995,0.03333333333333333,0.016666666666666666,60
2020-05-13,-0.00043449859946157837,-0.00040116526612824497,0.022657174075546703,-0.0003140217797148385,0.03333333333333333,0.016666666666666666,60
2020-05-14,-0.0028447164767682015,-0.0025447164767682016,0.012823834000146707,2.251924316502022e-05,0.3,0.15,60
2020-05-15,-0.00487691230092152,-0.003910245634254853,0.008152513195663352,-0.0008447703104594343,0.9666666666666667,0.48333333333333334,60
2020-05-18,0.0023902307063562987,0.0035568973730229657,-0.0076926519890158475,-7.364913427120861e-05,1.1666666666666667,0.5833333333333334,60
2020-05-19,-0.0002100560870096782,-0.00011005608700967821,0.0037032530993734323,-0.00026461778565182905,0.1,0.05,60
2020-05-20,0.0015330077025610751,0.0016996743692277419,-0.0075108922567516485,-0.0004412293562668626,0.16666666666666666,0.08333333333333333,60
2020-05-21,-0.0001883552952193427,-0.000121688628552676,0.002206968022059197,-0.00041504321994056953,0.06666666666666667,0.03333333333333333,60
2020-05-22,0.0012585790522612013,0.001325245718927868,-0.01108044866897998,2.4560525234081578e-05,0.06666666666666667,0.03333333333333333,60
2020-05-26,-0.0011537217206571244,-0.0003203883873237908,0.0031236315903191516,-0.00030324871955496785,0.8333333333333334,0.4166666666666667,60
2020-05-27,0.007276638114096353,0.00784330478076302,-0.007875111579478511,0.0003580599114763698,0.5666666666666667,0.2833333333333333,60
2020-05-28,-0.0008943339412179782,-0.0004276672745513114,0.008147864376649699,0.00014349258370962203,0.4666666666666667,0.23333333333333334,60
2020-05-29,-0.0019983112721782175,-0.0012649779388448838,0.0046924830602882,-0.00028751035878211875,0.7333333333333333,0.36666666666666664,60
2020-06-01,0.0,0.0,0.005351268727694427,-0.0002681362940775088,0.0,0.0,60
2020-06-02,-0.0031094691630187484,-0.002809469163018748,0.005894063507257076,-0.0003028202199459281,0.3,0.15,60
2020-06-03,-0.004779582416396015,-0.004312915749729348,0.001503625529417163,-0.0005444565478130954,0.4666666666666667,0.23333333333333334,60
2020-06-04,0.002039961015378439,0.002273294348711772,0.00723067843301262,-0.0005307199824693632,0.23333333333333334,0.11666666666666667,60
2020-06-05,-0.0025770976251448005,-0.0018770976251448006,0.009621221349147962,-0.00020138680499360095,0.7,0.35,60
2020-06-08,-0.00018904811686133233,0.0002109518831386677,0.0009835363183750222,-0.0002823492932574111,0.4,0.2,60
2020-06-09,0.0017547112669358508,0.0020213779336025178,-0.005781245069653177,-0.0002780131611503311,0.26666666666666666,0.13333333333333333,60
2020-06-10,0.0018995039665697488,0.001999503966569749,-0.03714855922154583,0.0009626761109486311,0.1,0.05,60
2020-06-11,-0.0015789894283975573,-0.0013456560950642238,-0.01122891687022279,-0.00010527118106159096,0.23333333333333334,0.11666666666666667,60
2020-06-12,-0.0001394854823917583,-0.00010615214905842496,0.028814222091919115,0.00036035328557625,0.03333333333333333,0.016666666666666666,60
2020-06-15,-7.311821223548636e-05,-3.9784878902153026e-05,-0.00633717103460168,0.0008934653482198666,0.03333333333333333,0.016666666666666666,60
2020-06-16,0.0033503701765069133,0.0038170368431735806,-0.00801087895898897,-7.466645214230522e-06,0.4666666666666667,0.23333333333333334,60
2020-06-17,0.0017280997707744496,0.001961433104107783,0.006877806558526623,8.002747638281203e-05,0.23333333333333334,0.11666666666666667,60
2020-06-18,9.919244986592585e-05,0.00016585911653259252,-0.01839552313839831,1.7515467692933868e-05,0.06666666666666667,0.03333333333333333,60
2020-06-19,-0.00011457081914882178,1.876251418451158e-05,0.007781533208666878,-0.00019897079482216563,0.13333333333333333,0.06666666666666667,60
2020-06-22,-0.0017290897624202104,-0.001395756429086877,-0.005112943511364704,-0.00014410916765593876,0.3333333333333333,0.16666666666666666,60
2020-06-23,0.0,0.0,-0.018730380707957902,0.0006381081763147076,0.0,0.0,60
2020-06-24,0.007481633716415578,0.008348300383082244,0.014146574535588537,-0.0016119612327726112,0.8666666666666667,0.43333333333333335,60
2020-06-25,0.004538813685934129,0.004905480352600796,-0.020723615584437957,-0.0002513244276587464,0.36666666666666664,0.18333333333333332,60
2020-06-26,0.001257392375354103,0.0014573923753541033,0.009242785086260967,-0.0002265926460251125,0.2,0.1,60
2020-06-29,-0.0018927342469215866,-0.001659400913588253,0.016449597749078036,-0.0014174471296508433,0.23333333333333334,0.11666666666666667,60
2020-06-30,-0.0027706682484028356,-0.002370668248402835,0.002624571893804441,0.00054096370712212,0.4,0.2,60
2020-07-01,0.0004422967223602082,0.0006422967223602083,-0.005603071008359865,0.00018938220739235243,0.2,0.1,60
2020-07-02,-7.4069552951398025e-06,2.592637803819353e-05,0.004217456456109964,0.00016196585732096338,0.03333333333333333,0.016666666666666666,60
