date,close
2023-01-03,264.48
2023-01-04,265.74
2023-01-05,261.58
2023-01-06,268.8
2023-01-09,270.54
2023-01-10,272.83
2023-01-11,277.55
2023-01-12,279.05
2023-01-13,280.97
2023-01-17,281.54
2023-01-18,277.88
2023-01-19,275.15
2023-01-20,282.68
2023-01-23,288.96
2023-01-24,288.37
2023-01-25,287.73
2023-01-26,293.34
2023-01-27,296.26
2023-01-30,290.27
2023-01-31,294.62
2023-02-01,300.92
2023-02-02,311.72
2023-02-03,306.18
2023-02-06,303.59
2023-02-07,309.88
2023-02-08,304.37
2023-02-09,301.68
2023-02-10,299.7
2023-02-13,304.5
2023-02-14,306.75
2023-02-15,309.1
2023-02-16,303.3
2023-02-17,301.16
2023-02-21,294.03
2023-02-22,294.25
2023-02-23,296.82
2023-02-24,291.85
2023-02-27,293.94
2023-02-28,293.56
2023-03-01,291.2
2023-03-02,293.61
2023-03-03,299.68
2023-03-06,300.02
2023-03-07,296.34
2023-03-08,297.82
2023-03-09,292.66
2023-03-10,288.55
2023-03-13,290.69
2023-03-14,297.37
2023-03-15,298.93
2023-03-16,306.81
2023-03-17,305.36
2023-03-20,305.97
2023-03-21,310.34
2023-03-22,306.12
2023-03-23,309.75
2023-03-24,310.89
2023-03-27,308.76
2023-03-28,307.12
2023-03-29,312.72
2023-03-30,315.68
2023-03-31,320.93
2023-04-03,320.15
2023-04-04,319.07
2023-04-05,315.92
2023-04-06,318.05
2023-04-10,317.87
2023-04-11,315.83
2023-04-12,313.04
2023-04-13,319.17
2023-04-14,318.57
2023-04-17,318.84
2023-04-18,318.86
2023-04-19,318.71
2023-04-20,316.28
2023-04-21,316.61
2023-04-24,315.95
2023-04-25,309.99
2023-04-26,311.87
2023-04-27,320.35
2023-04-28,322.56
2023-05-01,322.19
2023-05-02,319.38
2023-05-03,317.29
2023-05-04,316.17
2023-05-05,322.89
2023-05-08,323.69
2023-05-09,321.64
2023-05-10,325.14
2023-05-11,326.2
2023-05-12,325.03
2023-05-15,326.79
2023-05-16,327.16
2023-05-17,331.12
2023-05-18,337.27
2023-05-19,336.51
2023-05-22,337.64
2023-05-23,333.36
2023-05-24,331.65
2023-05-25,339.72
2023-05-26,348.4
2023-05-30,349.98
2023-05-31,347.99
2023-06-01,352.01
2023-06-02,354.65
2023-06-05,354.9
2023-06-06,354.84
2023-06-07,348.82
2023-06-08,353.15
2023-06-09,354.5
2023-06-12,360.49
2023-06-13,363.26
2023-06-14,365.9
2023-06-15,370.26
2023-06-16,367.93
2023-06-20,366.9
2023-06-21,361.9
2023-06-22,366.17
2023-06-23,362.54
2023-06-26,357.68
2023-06-27,363.83
2023-06-28,364.54
2023-06-29,363.81
2023-06-30,369.42
2023-07-03,370.29
2023-07-05,370.28
2023-07-06,367.46
2023-07-07,366.24
2023-07-10,366.36
2023-07-11,368.17
2023-07-12,372.82
2023-07-13,379.15
2023-07-14,379.07
2023-07-17,382.61
2023-07-18,385.74
2023-07-19,385.65
2023-07-20,376.76
2023-07-21,375.63
2023-07-24,376.23
2023-07-25,378.78
2023-07-26,377.52
2023-07-27,376.62
2023-07-28,383.48
2023-07-31,383.68
2023-08-01,382.79
2023-08-02,374.39
2023-08-03,373.79
2023-08-04,372.04
2023-08-07,375.19
2023-08-08,372.0
2023-08-09,367.91
2023-08-10,368.59
2023-08-11,366.24
2023-08-14,370.35
2023-08-15,366.42
2023-08-16,362.54
2023-08-17,358.58
2023-08-18,358.13
2023-08-21,363.9
2023-08-22,363.38
2023-08-23,369.11
2023-08-24,361.22
2023-08-25,364.02
2023-08-28,366.76
2023-08-29,374.77
2023-08-30,376.86
2023-08-31,377.99
2023-09-01,377.59
2023-09-05,378.07
2023-09-06,374.74
2023-09-07,372.06
2023-09-08,372.58
2023-09-11,376.97
2023-09-12,372.79
2023-09-13,374.21
2023-09-14,377.27
2023-09-15,370.81
2023-09-18,370.66
2023-09-19,369.87
2023-09-20,364.54
2023-09-21,357.86
2023-09-22,357.91
2023-09-25,359.61
2023-09-26,354.21
2023-09-27,355.04
2023-09-28,358.01
2023-09-29,358.27
2023-10-02,361.26
2023-10-03,354.92
2023-10-04,359.75
2023-10-05,358.69
2023-10-06,364.7
2023-10-09,366.56
2023-10-10,368.59
2023-10-11,371.22
2023-10-12,369.93
2023-10-13,365.28
2023-10-16,369.41
2023-10-17,368.2
2023-10-18,363.37
2023-10-19,359.97
2023-10-20,354.6
2023-10-23,355.67
2023-10-24,359.13
2023-10-25,350.34
2023-10-26,343.66
2023-10-27,345.31
2023-10-30,349.2
2023-10-31,350.87
2023-11-01,356.96
2023-11-02,363.44
2023-11-03,367.71
2023-11-06,369.21
2023-11-07,372.7
2023-11-08,372.94
2023-11-09,370.07
2023-11-10,378.39
2023-11-13,377.21
2023-11-14,385.33
2023-11-15,385.62
2023-11-16,385.95
2023-11-17,386.04
2023-11-20,390.74
2023-11-21,388.47
2023-11-22,390.06
2023-11-24,389.51
2023-11-27,389.17
2023-11-28,390.19
2023-11-29,389.81
2023-11-30,388.83
2023-12-01,389.94
2023-12-04,386.32
2023-12-05,387.29
2023-12-06,385.05
2023-12-07,390.43
2023-12-08,392.17
2023-12-11,395.52
2023-12-12,398.67
2023-12-13,403.74
2023-12-14,403.39
2023-12-15,405.34
2023-12-18,407.08
2023-12-19,409.16
2023-12-20,403.08
2023-12-21,407.77
2023-12-22,408.38
2023-12-26,410.88
2023-12-27,411.5
2023-12-28,411.3
2023-12-29,409.52
2024-01-02,402.59
2024-01-03,398.33
2024-01-04,396.28
2024-01-05,396.75
2024-01-08,404.95
